"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://magicworksitsolutions.com/","486","118","4.119","61.132","Normal","","","","","","","","","","en","83d76930b76369cdeddced900bfdeea8","Indexable",""
"https://magicworksitsolutions.com/services","172","46","3.739","54.990","Fairly Hard","","","","","","","","","","en","2a5d0f6261bb5d31d39449c2568052ff","Indexable",""
"https://magicworksitsolutions.com/insights/reports","646","105","6.152","81.679","Easy","","","","","","","","","","en","bc16a8ee2c48b06288aeabb0da47c919","Indexable",""
"https://magicworksitsolutions.com/careers","437","95","4.600","83.687","Easy","","","","","","","","","","en","4db33b588fdc248aa7d1bc4a6ac06f9","Indexable",""
"https://magicworksitsolutions.com/industries/manufacturing","389","78","4.987","27.136","Very Hard","","","","","","","","","","en","457c964575977b9987faee2ed6f1fe25","Indexable",""
"https://magicworksitsolutions.com/services/ai-consultation","738","130","5.677","70.963","Fairly Easy","","","","","","","","","","en","e6951df3a4f963bd1ab892a2612daebd","Indexable",""
"https://magicworksitsolutions.com/group/magicflow-ai","218","39","5.590","59.127","Fairly Hard","","","","","","","","","","en","314813d273c240b5b43d06415eba168b","Indexable",""
"https://magicworksitsolutions.com/industries/professional-services","394","63","6.254","44.385","Hard","","","","","","","","","","en","bd2eca9abb8cdfccb4e60adc523355ee","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing","896","163","5.497","68.124","Normal","","","","","","","","","","en","75e2757628e0e59f11178d9606a3e6c8","Indexable",""
"https://magicworksitsolutions.com/industries/real-estate","329","62","5.306","47.163","Hard","","","","","","","","","","en","1470bbdd4543a9209decb055f8425e3c","Indexable",""
"https://magicworksitsolutions.com/industries/education","326","64","5.094","44.662","Hard","","","","","","","","","","en","4556465f39142cb047bb21e83b2e8ff0","Indexable",""
"https://magicworksitsolutions.com/blog","1796","290","6.193","61.072","Normal","","","","","","","","","","en","57d7e1e17c381d20c6bc6d2bd70209e9","Indexable",""
"https://magicworksitsolutions.com/privacy","2223","362","6.141","60.325","Normal","","","","","","","","","","en","ce3836373057bb5f529d2b0efa9cdf86","Non-Indexable","noindex"
"https://magicworksitsolutions.com/work","545","113","4.823","46.866","Hard","","","","","","","","","","en","55cfbe210854c95ef7bb37ce09eacbee","Indexable",""
"https://magicworksitsolutions.com/about","458","95","4.821","60.818","Normal","","","","","","","","","","en","6ab040005868865a6a763a28cc02e34a","Indexable",""
"https://magicworksitsolutions.com/terms","1318","256","5.148","64.375","Normal","","","","","","","","","","en","423ebd20f7d30bd206302ad18979bba0","Non-Indexable","noindex"
"https://magicworksitsolutions.com/group/magic-pipeline","150","28","5.357","47.990","Hard","","","","","","","","","","en","891d7a7636f52d94a214e4f41cef2238","Indexable",""
"https://magicworksitsolutions.com/group/magicworks-host","141","32","4.406","52.963","Fairly Hard","","","","","","","","","","en","b6324fd7e859427c08d9ed1c0e179234","Indexable",""
"https://magicworksitsolutions.com/contact","249","55","4.527","78.228","Fairly Easy","","","","","","","","","","en","6eee30e7572866e6945d40da575e61a","Indexable",""
"https://magicworksitsolutions.com/services/web-development","733","139","5.273","75.333","Fairly Easy","","","","","","","","","","en","3368a66cb30cf04f7a3ce0e6c0b9021","Indexable",""
"https://magicworksitsolutions.com/insights/whitepapers","249","36","6.917","48.962","Hard","","","","","","","","","","en","d032081af85db73e15bcfe62a852b03","Indexable",""
"https://magicworksitsolutions.com/services/web-development/maintenance-amc","437","80","5.463","57.838","Fairly Hard","","","","","","","","","","en","9023b04cc56cdc16bf9bb936c028cb74","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation","738","139","5.309","61.936","Normal","","","","","","","","","","en","aa5ec105438cfa74e10a214b528c7c3f","Indexable",""
"https://magicworksitsolutions.com/insights/whitepapers/ai-automation-readiness-indian-smes","285","49","5.816","59.338","Fairly Hard","","","","","","","","","","en","655b35ef7997fd51f58ba89e1423f1fc","Indexable",""
"https://magicworksitsolutions.com/insights/whitepapers/performance-marketing-roi","280","50","5.600","61.561","Normal","","","","","","","","","","en","3411071b012c92234acf2dd309dabe35","Indexable",""
"https://magicworksitsolutions.com/services/web-development/ai-native-websites","562","106","5.302","71.995","Fairly Easy","","","","","","","","","","en","88e2629c997b79dcc0692cbd6835e2ff","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation/roadmap-audit","564","105","5.371","59.933","Fairly Hard","","","","","","","","","","en","fda15ab18f0924fbae56cd37b85cc0bb","Indexable",""
"https://magicworksitsolutions.com/services/web-development/ecommerce","434","85","5.106","58.768","Fairly Hard","","","","","","","","","","en","18097aa8575b631a73741ad8218bb4b4","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation/advisory-sprint","360","64","5.625","53.546","Fairly Hard","","","","","","","","","","en","52f35ede610fe4325c3782948d6e3cc1","Indexable",""
"https://magicworksitsolutions.com/work/b2b-enterprise-software-abm-demos","265","50","5.300","45.983","Hard","","","","","","","","","","en","64db77d1a2e34e011420b96156b12d7d","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation/workshop","345","68","5.074","62.402","Normal","","","","","","","","","","en","707a59bf91fe28dffee2735b548118c2","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation/embedded-advisor","360","71","5.070","55.754","Fairly Hard","","","","","","","","","","en","906b4b6deb9bcb365d83c0bb45925d6","Indexable",""
"https://magicworksitsolutions.com/work/regional-retail-chain-footfall-growth","235","50","4.700","41.865","Hard","","","","","","","","","","en","7620bddbef154de466ce48c58d6f2394","Indexable",""
"https://magicworksitsolutions.com/work/commercial-contractor-b2b-project-inquiries","267","48","5.562","33.256","Hard","","","","","","","","","","en","cdc9b494653b3c74b70178d14e8a3866","Indexable",""
"https://magicworksitsolutions.com/work/boutique-resort-direct-booking-growth","262","48","5.458","45.011","Hard","","","","","","","","","","en","c1ed6064cd7bddef2572b536cad71c39","Indexable",""
"https://magicworksitsolutions.com/work/aishwaryam-real-estate-pipeline","206","40","5.150","48.014","Hard","","","","","","","","","","en","5483d086e575db9efbca4ddd9a56cad2","Indexable",""
"https://magicworksitsolutions.com/work/srj-steel-b2b-digital-presence","227","40","5.675","63.926","Normal","","","","","","","","","","en","78e5080671914f2c047e86966f200099","Indexable",""
"https://magicworksitsolutions.com/work/multi-specialty-hospital-opd-growth","247","53","4.660","29.137","Very Hard","","","","","","","","","","en","fa54a85fde0fed4c01c5ad3279508b8f","Indexable",""
"https://magicworksitsolutions.com/work/design-institute-2x-inquiry-growth","273","56","4.875","47.562","Hard","","","","","","","","","","en","924fe6f40e165cc219f27dfbfce38136","Indexable",""
"https://magicworksitsolutions.com/work/steel-manufacturer-b2b-rfq-growth","264","49","5.388","41.139","Hard","","","","","","","","","","en","aa1ba85a73786858407915d9c12e8114","Indexable",""
"https://magicworksitsolutions.com/work/trexova-wellness-tourism-pipeline","197","38","5.184","54.275","Fairly Hard","","","","","","","","","","en","a7b20e43a060affe5a11fa125a0c55ff","Indexable",""
"https://magicworksitsolutions.com/work/d2c-lifestyle-brand-roas-growth","249","56","4.446","49.091","Hard","","","","","","","","","","en","46d4e5a08fd3f119e3585c452e7b0124","Indexable",""
"https://magicworksitsolutions.com/blog/pune-businesses-ai-social-media-traditional-agencies-2026","7034","1033","6.809","44.663","Hard","","","","","","","","","","en","3e8632db02ecd9328ca8d565a46691a5","Indexable",""
"https://magicworksitsolutions.com/blog/real-cost-of-ai-indian-marketing-sales-2026","7427","1120","6.631","64.519","Normal","","","","","","","","","","en","7006595f93c90b55758e52485b0f1a77","Indexable",""
"https://magicworksitsolutions.com/blog/google-ai-mode-india-advertisers-2026","4416","669","6.601","68.005","Normal","","","","","","","","","","en","7286b504f0009c3b8a4f08fd3d70021a","Indexable",""
"https://magicworksitsolutions.com/blog/website-development-cost-india","7589","1116","6.800","56.439","Fairly Hard","","","","","","","","","","en","5656cb3425dadcfc567e1c8bbb4ae6e5","Indexable",""
"https://magicworksitsolutions.com/blog/ai-chatbot-vs-lead-forms-b2b-india","7356","1119","6.574","61.681","Normal","","","","","","","","","","en","2cd062484c2bc8ea35081667c7dbea9e","Indexable",""
"https://magicworksitsolutions.com/blog/transform-your-online-presence-with-website-development-solutions-tailored-for-shopify","7178","1054","6.810","49.250","Hard","","","","","","","","","","en","df6951aec756ea7519c4fb7b5aad1154","Indexable",""
"https://magicworksitsolutions.com/blog/ai-social-media-services-vs-traditional-agencies-2026","9603","1340","7.166","41.109","Hard","","","","","","","","","","en","d08c18a3594182d1e72479b75a578220","Indexable",""
"https://magicworksitsolutions.com/blog/transform-your-business-with-the-best-digital-marketing-agency","6811","1036","6.574","45.780","Hard","","","","","","","","","","en","87ba5278334bddbb4a0658e9838055c9","Indexable",""
"https://magicworksitsolutions.com/blog/social-media-marketing-company-pune-2026","7439","1039","7.160","52.863","Fairly Hard","","","","","","","","","","en","21a6e952e00de3c982493389d78d4114","Indexable",""
"https://magicworksitsolutions.com/blog/beyond-code-what-sets-top-web-development-agencies-apart-from-the-rest","6176","937","6.591","52.424","Fairly Hard","","","","","","","","","","en","16fd96e5f6608ef903f1d033017cf8a1","Indexable",""
"https://magicworksitsolutions.com/blog/the-foundation-of-digital-success-strategic-web-design-development","6889","1021","6.747","51.872","Fairly Hard","","","","","","","","","","en","40f884c1708900c77075350e77158dbe","Indexable",""
"https://magicworksitsolutions.com/blog/why-digital-transformation-fails-smes-india","6529","963","6.780","58.651","Fairly Hard","","","","","","","","","","en","4fb04e8eb402d6364a460a86b0263148","Indexable",""
"https://magicworksitsolutions.com/blog/4-proven-methods-to-increase-your-website-conversions","7316","1081","6.768","57.466","Fairly Hard","","","","","","","","","","en","c52af45e3c59f82b6d09e76af196259","Indexable",""
"https://magicworksitsolutions.com/blog/why-strategic-digital-marketing-firms-are-critical-for-business-success","8883","1282","6.929","44.583","Hard","","","","","","","","","","en","6916b53f19b9fc5cc99cf0eede860a2b","Indexable",""
"https://magicworksitsolutions.com/blog/search-engine-marketing-b2b-google-ads-mistakes","6288","1008","6.238","61.898","Normal","","","","","","","","","","en","7e41c005d7d5722ef77a1bb07e1aa5a7","Indexable",""
"https://magicworksitsolutions.com/blog/ai-investment-framework-indian-ceos-marketing-sales-2026","5687","848","6.706","63.154","Normal","","","","","","","","","","en","b7cac33716752ece5734603f04d50227","Indexable",""
"https://magicworksitsolutions.com/blog/how-ai-transforms-performance-marketing-for-scalable-growth","7493","1042","7.191","53.708","Fairly Hard","","","","","","","","","","en","bdfd92afebd2d88b3309b858bcd46b01","Indexable",""
"https://magicworksitsolutions.com/blog/the-startups-digital-rewire-how-a-top-digital-marketing-company-fuels-sustainable-growth","6846","1023","6.692","60.970","Normal","","","","","","","","","","en","a7c1517a9524eb30d1dfa1b28089d63e","Indexable",""
"https://magicworksitsolutions.com/blog/ai-lead-qualification-b2b-india-sales-heads-2026","7498","1085","6.911","63.951","Normal","","","","","","","","","","en","bcae470a3ad1f0f4fd1791446e08e00a","Indexable",""
"https://magicworksitsolutions.com/blog/the-ultimate-guide-to-hiring-the-best-digital-marketing-agency","7732","1126","6.867","50.097","Fairly Hard","","","","","","","","","","en","615525ab6fc060e098c244eaf2e611dc","Indexable",""
"https://magicworksitsolutions.com/blog/9-essential-steps-to-start-your-online-business","4170","714","5.840","58.243","Fairly Hard","","","","","","","","","","en","fef79d0b7916ea99a68d931fca83d42b","Indexable",""
"https://magicworksitsolutions.com/blog/indian-b2b-marketing-strategy-gap-explained","8697","1307","6.654","57.836","Fairly Hard","","","","","","","","","","en","5ddc6a102d1292f8f3cf9dc5f7c74211","Indexable",""
"https://magicworksitsolutions.com/blog/how-performance-marketing-agencies-help-brands-move-from-spend-to-scale","6865","1013","6.777","53.592","Fairly Hard","","","","","","","","","","en","42b302dde4345c671d070bfbe7bbc37f","Indexable",""
"https://magicworksitsolutions.com/blog/strengthen-your-content-strategy-with-customer-input","8763","1190","7.364","56.536","Fairly Hard","","","","","","","","","","en","86bf82d4c558fa699bfd64e75fb0e534","Indexable",""
"https://magicworksitsolutions.com/blog/geo-for-indian-businesses-2026","5117","832","6.150","61.119","Normal","","","","","","","","","","en","3fd03d5cff3481e73d135f6630c62b8f","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/site-performance-conversion","420","74","5.676","77.196","Fairly Easy","","","","","","","","","","en","b7b545b7ec3173512be58ad9d2832fb3","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/linkedin-organic-social","371","70","5.300","58.023","Fairly Hard","","","","","","","","","","en","c4495a18d568d8ae270d9516d4594f9e","Indexable",""
"https://magicworksitsolutions.com/work/simplidistance-mba-enrollments","247","46","5.370","35.953","Hard","","","","","","","","","","en","66f1fe5ac658bdd8b933e8f545ca3c8c","Indexable",""
"https://magicworksitsolutions.com/blog/the-essential-guide-to-social-media-marketing-dos-and-donts","9513","1388","6.854","46.010","Hard","","","","","","","","","","en","8afb37037a4f23a73ec87bc8182e2ec7","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/google-ads-search-marketing","405","75","5.400","69.754","Normal","","","","","","","","","","en","225e372b7f94a887d2c99489249dcd35","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/email-marketing","380","69","5.507","60.097","Normal","","","","","","","","","","en","57c5253df1f8372d7b67c488db84aea8","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/meta-ads","405","82","4.939","50.169","Fairly Hard","","","","","","","","","","en","16496c5b2230a1d442dc9c7e7c555afa","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/thought-leadership-geo","433","77","5.623","55.568","Fairly Hard","","","","","","","","","","en","9c26e89a8acfc3944cb30b68e8fabbfc","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/youtube-video-optimisation","362","70","5.171","63.702","Normal","","","","","","","","","","en","a2eb46a38ac3122e4bd2595784979bc0","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/gmb-optimisation","347","65","5.338","55.134","Fairly Hard","","","","","","","","","","en","d759e6c932ab65ef7e77737df10c8b79","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/full-funnel-programme","457","88","5.193","62.909","Normal","","","","","","","","","","en","7544b3573da28fd7e0e7023814d8916a","Indexable",""
"https://magicworksitsolutions.com/group","328","55","5.964","69.755","Normal","","","","","","","","","","en","751105b15119606db2efd149b4850be5","Indexable",""
"https://magicworksitsolutions.com/services/ai-consultation/embedded-advisor","387","75","5.160","63.439","Normal","","","","","","","","","","en","81196a372603133fdf3a9029de1c7ccf","Indexable",""
"https://magicworksitsolutions.com/tools/ai-readiness-assessment","254","40","6.350","67.494","Normal","","","","","","","","","","en","54932f6d59cdb670be97aafd0831b77a","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing/seo-aeo","430","85","5.059","54.339","Fairly Hard","","","","","","","","","","en","edf3ca4e9aaa106def674f426bc0d974","Indexable",""
"https://magicworksitsolutions.com/services/ai-consultation/workshop","372","69","5.391","61.955","Normal","","","","","","","","","","en","e834404b50f85035ad94d98b2048e627","Indexable",""
"https://magicworksitsolutions.com/services/ai-consultation/vendor-sprint","387","70","5.529","67.000","Normal","","","","","","","","","","en","f7d1a897d0085690895680479ca5e406","Indexable",""
"https://magicworksitsolutions.com/careers/web-developer-full-stack","445","97","4.588","62.066","Normal","","","","","","","","","","en","3d46b77b0731bed6143e168ce7384754","Indexable",""
"https://magicworksitsolutions.com/careers/seo-aeo-geo-intern","397","71","5.592","66.695","Normal","","","","","","","","","","en","af85c85edc93710a7a2eabd2a70e5f44","Indexable",""
"https://magicworksitsolutions.com/services/ai-consultation/process-audit","689","128","5.383","62.745","Normal","","","","","","","","","","en","86872c86dda1b768e537258df5cf89c9","Indexable",""
"https://magicworksitsolutions.com/careers/digital-marketing-intern","288","59","4.881","58.824","Fairly Hard","","","","","","","","","","en","e6f65831b126e859eec9bdae3453600c","Indexable",""
"https://magicworksitsolutions.com/careers/performance-marketing-executive","352","72","4.889","63.677","Normal","","","","","","","","","","en","dbff5712aeda699eb44bc75d43f687a8","Indexable",""
"https://magicworksitsolutions.com/careers/sales-executive-ai-product","395","72","5.486","66.977","Normal","","","","","","","","","","en","c9d882c4faefd356672cbedfdd33e9cf","Indexable",""
"https://magicworksitsolutions.com/careers/digital-marketing-sales-executive","390","74","5.270","55.063","Fairly Hard","","","","","","","","","","en","b521b96c116f459a355c9410dcbb3fc1","Indexable",""
"https://magicworksitsolutions.com/insights/reports/platform-strategy-checklist","629","100","6.290","79.401","Fairly Easy","","","","","","","","","","en","fd46bfb653400eb0b6c9bf3ff7d1fac6","Indexable",""
"https://magicworksitsolutions.com/careers/nextjs-developer","651","136","4.787","47.201","Hard","","","","","","","","","","en","82a1ca2603562dbb519b810fca793c35","Indexable",""
"https://magicworksitsolutions.com/careers/seo-executive","387","78","4.962","65.827","Normal","","","","","","","","","","en","74deb3c3783af8f7cb79f94973072fe2","Indexable",""
"https://magicworksitsolutions.com/careers/digital-marketing-manager","392","79","4.962","60.655","Normal","","","","","","","","","","en","f03f308aa1c3bd23d9972bd94046a16f","Indexable",""
"https://magicworksitsolutions.com/insights/reports/ai-readiness-playbook","610","101","6.040","80.046","Easy","","","","","","","","","","en","2ae605849ec244a534f0abf2be693104","Indexable",""
"https://magicworksitsolutions.com/insights/reports/ai-native-website-spec-sheet","651","102","6.382","82.229","Easy","","","","","","","","","","en","4580d29ce94c7973b0968c2820d071f2","Indexable",""
"https://magicworksitsolutions.com/insights/reports/ai-search-visibility-playbook","629","100","6.290","75.097","Fairly Easy","","","","","","","","","","en","b18b69b22fa283347d95b914a242bdae","Indexable",""
"https://magicworksitsolutions.com/insights/reports/manufacturers-growth-playbook","597","103","5.796","69.588","Normal","","","","","","","","","","en","9128b7a0d050b16535414ac3c55a6446","Indexable",""
"https://magicworksitsolutions.com/insights/reports/ai-for-professional-services","603","104","5.798","69.490","Normal","","","","","","","","","","en","364403458b872ca791dabe1018fa703f","Indexable",""
"https://magicworksitsolutions.com/authors/swapnil-ughade","239","45","5.311","60.208","Normal","","","","","","","","","","en","f0ce886b5009e5314e0ae262d51fecf9","Indexable",""
