"Site Crawled","https://magicworksitsolutions.com/"
"Start Date","2026-06-23"
"Start Time","10:06:37"
"Last Modified Date","2026-06-23"
"Last Modified Time","10:07:00"
"Elapsed","00:00:22"
"Report Date","2026-06-23"
"Report Time","10:13:47"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","228","100.00%","228","URLs Encountered"
"Total URLs Crawled","226","99.12%","228","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","228","URLs Encountered"
"Total External blocked by robots.txt","2","0.88%","228","URLs Encountered"
""
"URLs Displayed","228","100.00%","228","URLs Displayed"
"Total Internal URLs","212","92.98%","228","URLs Displayed"
"Total External URLs","16","7.02%","228","URLs Displayed"
"Total Internal Indexable URLs","179","78.51%","228","URLs Displayed"
"Total Internal Non-Indexable URLs","33","14.47%","228","URLs Displayed"
""
"Internal"
"All","212","100.00%","212","Internal URLs"
"HTML","132","62.26%","212","Internal URLs"
"JavaScript","25","11.79%","212","Internal URLs"
"CSS","1","0.47%","212","Internal URLs"
"Images","54","25.47%","212","Internal URLs"
"Media","0","0.00%","212","Internal URLs"
"Fonts","0","0.00%","212","Internal URLs"
"XML","0","0.00%","212","Internal URLs"
"PDF","0","0.00%","212","Internal URLs"
"Plugins","0","0.00%","212","Internal URLs"
"Other","0","0.00%","212","Internal URLs"
"Unknown","0","0.00%","212","Internal URLs"
""
"External"
"All","16","100.00%","16","External URLs"
"HTML","12","75.00%","16","External URLs"
"JavaScript","0","0.00%","16","External URLs"
"CSS","0","0.00%","16","External URLs"
"Images","0","0.00%","16","External URLs"
"Media","0","0.00%","16","External URLs"
"Fonts","0","0.00%","16","External URLs"
"XML","0","0.00%","16","External URLs"
"PDF","0","0.00%","16","External URLs"
"Plugins","0","0.00%","16","External URLs"
"Other","2","12.50%","16","External URLs"
"Unknown","2","12.50%","16","External URLs"
""
"Security"
"All","212","100.00%","212","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","212","All internal and non-HTML external URLs"
"HTTPS URLs","212","100.00%","212","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","212","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","212","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","212","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","0","0.00%","212","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","212","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0.00%","212","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","127","59.91%","212","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","181","85.38%","212","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","181","85.38%","212","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","181","85.38%","212","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","212","All internal and non-HTML external URLs"
""
"Response Codes"
"All","228","100.00%","228","All Internal & External Crawled URLs"
"Blocked by Robots.txt","2","0.88%","228","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","228","All Internal & External Crawled URLs"
"No Response","0","0.00%","228","All Internal & External Crawled URLs"
"Success (2xx)","190","83.33%","228","All Internal & External Crawled URLs"
"Redirection (3xx)","36","15.79%","228","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","228","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","228","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","228","All Internal & External Crawled URLs"
"Client Error (4xx)","0","0.00%","228","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","228","All Internal & External Crawled URLs"
"Internal All","212","92.98%","228","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","228","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","228","All Internal Crawled URLs"
"Internal No Response","0","0.00%","228","All Internal Crawled URLs"
"Internal Success (2xx)","181","79.39%","228","All Internal Crawled URLs"
"Internal Redirection (3xx)","31","13.60%","228","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","228","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","228","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","228","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","228","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","228","All Internal Crawled URLs"
"Internal Client Error (4xx)","0","0.00%","228","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","228","All Internal Crawled URLs"
"External All","16","7.02%","228","All External Crawled URLs"
"External Blocked by Robots.txt","2","0.88%","228","All External Crawled URLs"
"External Blocked Resource","0","0.00%","228","All External Crawled URLs"
"External No Response","0","0.00%","228","All External Crawled URLs"
"External Success (2xx)","9","3.95%","228","All External Crawled URLs"
"External Redirection (3xx)","5","2.19%","228","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","228","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","228","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","228","All External Crawled URLs"
"External Client Error (4xx)","0","0.00%","228","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","228","All External Crawled URLs"
""
"URL"
"All","212","100.00%","212","Internal URLs"
"Non ASCII Characters","0","0.00%","212","Internal URLs"
"Underscores","0","0.00%","212","Internal URLs"
"Uppercase","0","0.00%","212","Internal URLs"
"Multiple Slashes","0","0.00%","212","Internal URLs"
"Repetitive Path","0","0.00%","212","Internal URLs"
"Contains Space","0","0.00%","212","Internal URLs"
"Internal Search","0","0.00%","212","Internal URLs"
"Parameters","0","0.00%","212","Internal URLs"
"Broken Bookmark","0","0.00%","212","Internal URLs"
"GA Tracking Parameters","0","0.00%","212","Internal URLs"
"Over 115 Characters","4","1.89%","212","Internal URLs"
""
"Page Titles"
"All","101","100.00%","101","Internal HTML pages with 2xx response"
"Missing","0","0.00%","101","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","101","Internal HTML pages with 2xx response"
"Over 60 Characters","66","65.35%","101","Internal HTML pages with 2xx response"
"Below 30 Characters","5","4.95%","101","Internal HTML pages with 2xx response"
"Over 561 Pixels","66","65.35%","101","Internal HTML pages with 2xx response"
"Below 200 Pixels","2","1.98%","101","Internal HTML pages with 2xx response"
"Same as H1","0","0.00%","101","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","101","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","101","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","101","100.00%","101","Internal HTML pages with 2xx response"
"Missing","0","0.00%","101","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","101","Internal HTML pages with 2xx response"
"Over 155 Characters","48","47.52%","101","Internal HTML pages with 2xx response"
"Below 70 Characters","0","0.00%","101","Internal HTML pages with 2xx response"
"Over 985 Pixels","56","55.45%","101","Internal HTML pages with 2xx response"
"Below 400 Pixels","0","0.00%","101","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","101","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","101","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","101","100.00%","101","Internal HTML pages with 2xx response"
"Missing","0","0.00%","101","Internal HTML pages with 2xx response"
"Duplicate","73","72.28%","101","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","101","Internal HTML pages with 2xx response"
""
"H1"
"All","101","100.00%","101","Internal HTML pages with 2xx response"
"Missing","0","0.00%","101","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","101","Internal HTML pages with 2xx response"
"Over 70 Characters","36","35.64%","101","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","101","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","101","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","101","Internal HTML pages with 2xx response"
""
"H2"
"All","101","100.00%","101","Internal HTML pages with 2xx response"
"Missing","0","0.00%","101","Internal HTML pages with 2xx response"
"Duplicate","70","69.31%","101","Internal HTML pages with 2xx response"
"Over 70 Characters","7","6.93%","101","Internal HTML pages with 2xx response"
"Multiple","94","93.07%","101","Internal HTML pages with 2xx response"
"Non-Sequential","1","0.99%","101","Internal HTML pages with 2xx response"
""
"Content"
"All","101","100.00%","101","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","101","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","101","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","101","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","101","Internal HTML pages with 2xx response"
"Low Content Pages","4","3.96%","101","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","101","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","101","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","101","Internal HTML pages with 2xx response"
"Readability Difficult","22","21.78%","101","Internal HTML pages with 2xx response"
"Readability Very Difficult","2","1.98%","101","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","101","Internal HTML pages with 2xx response"
""
"Images"
"All","54","100.00%","54","Images with 2xx response"
"Over 100 kB","19","35.19%","54","Images with 2xx response"
"Missing Alt Text","0","0.00%","54","Images with 2xx response"
"Missing Alt Attribute","0","0.00%","54","Images with 2xx response"
"Alt Text Over 100 Characters","22","40.74%","54","Images with 2xx response"
"Background Images","0","0.00%","54","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","54","Images with 2xx response"
"Missing Size Attributes","26","48.15%","54","Images with 2xx response"
""
"Canonicals"
"All","101","100.00%","101","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","101","100.00%","101","Internal HTML or PDF pages with 2xx response"
"Self Referencing","101","100.00%","101","Internal HTML or PDF pages with 2xx response"
"Canonicalised","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
"Missing","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","101","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","101","100.00%","101","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","101","Internal HTML pages with 2xx response"
"First Page","0","0.00%","101","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","101","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","101","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","101","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","101","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","101","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","101","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","101","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","101","Internal HTML pages with 2xx response"
""
"Directives"
"All","181","100.00%","181","Internal URLs with 2xx response"
"Index","99","54.70%","181","Internal URLs with 2xx response"
"Noindex","2","1.10%","181","Internal URLs with 2xx response"
"Follow","99","54.70%","181","Internal URLs with 2xx response"
"Nofollow","2","1.10%","181","Internal URLs with 2xx response"
"None","0","0.00%","181","Internal URLs with 2xx response"
"NoArchive","0","0.00%","181","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","181","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","181","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","181","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","181","Internal URLs with 2xx response"
"NoODP","0","0.00%","181","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","181","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","181","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","181","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","181","Internal URLs with 2xx response"
"Refresh","0","0.00%","132","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","181","Internal URLs with 2xx response"
""
"Hreflang"
"All","101","100.00%","101","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","101","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","101","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","101","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","101","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","101","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","101","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","101","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","101","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","101","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","101","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","101","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","101","Internal pages with 2xx response"
"Missing","0","0.00%","101","Internal pages with 2xx response"
"Outside <head>","0","0.00%","101","Internal pages with 2xx response"
""
"JavaScript"
"All","101","100.00%","101","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","101","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","101","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","101","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","101","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","101","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","101","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","101","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","101","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","101","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","101","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","101","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","101","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","101","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","101","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","101","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","101","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","101","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","101","Internal HTML pages with 2xx response"
""
"Links"
"All","101","100.00%","101","Internal HTML pages with 2xx response"
"Pages With Uncrawlable Internal Outlinks","0","0.00%","101","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","101","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","101","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","0","0.00%","101","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","0","0.00%","101","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","5","4.95%","101","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","0","0.00%","101","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","101","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","101","Internal HTML pages with 2xx response"
